"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","POVERTYGAP","18_65","RT","A","2019",0.275,
"GRC","POVERTYGAP","18_65","RT","A","2005",0.305,
"GRC","POVERTYGAP","18_65","RT","A","2006",0.337,
"GRC","POVERTYGAP","18_65","RT","A","2007",0.335,
"GRC","POVERTYGAP","18_65","RT","A","2008",0.329,
"GRC","POVERTYGAP","18_65","RT","A","2009",0.327,
"GRC","POVERTYGAP","18_65","RT","A","2010",0.374,
"GRC","POVERTYGAP","18_65","RT","A","2011",0.421,
"GRC","POVERTYGAP","18_65","RT","A","2012",0.395,
"GRC","POVERTYGAP","18_65","RT","A","2013",0.36,
"GRC","POVERTYGAP","18_65","RT","A","2014",0.414,
"GRC","POVERTYGAP","18_65","RT","A","2015",0.405,
"GRC","POVERTYGAP","18_65","RT","A","2016",0.371,
"GRC","POVERTYGAP","18_65","RT","A","2017",0.359,
"GRC","POVERTYGAP","18_65","RT","A","2018",0.313,
"GRC","POVERTYGAP","18_65","RT","A","2019",0.366,
"GRC","POVERTYGAP","18_65","RT","A","2020",0.406,
"HUN","POVERTYGAP","18_65","RT","A","2006",0.252,
"HUN","POVERTYGAP","18_65","RT","A","2007",0.247,
"HUN","POVERTYGAP","18_65","RT","A","2008",0.213,
"HUN","POVERTYGAP","18_65","RT","A","2009",0.204,
"HUN","POVERTYGAP","18_65","RT","A","2010",0.219,
"HUN","POVERTYGAP","18_65","RT","A","2011",0.238,
"HUN","POVERTYGAP","18_65","RT","A","2012",0.27,
"HUN","POVERTYGAP","18_65","RT","A","2013",0.247,
"HUN","POVERTYGAP","18_65","RT","A","2014",0.302,
"HUN","POVERTYGAP","18_65","RT","A","2015",0.347,
"HUN","POVERTYGAP","18_65","RT","A","2016",0.45,
"HUN","POVERTYGAP","18_65","RT","A","2017",0.363,
"HUN","POVERTYGAP","18_65","RT","A","2018",0.344,
"HUN","POVERTYGAP","18_65","RT","A","2019",0.34,
"HUN","POVERTYGAP","18_65","RT","A","2020",0.353,
"ISL","POVERTYGAP","18_65","RT","A","2005",0.32,
"ISL","POVERTYGAP","18_65","RT","A","2006",0.311,
"ISL","POVERTYGAP","18_65","RT","A","2007",0.286,
"ISL","POVERTYGAP","18_65","RT","A","2008",0.316,
"ISL","POVERTYGAP","18_65","RT","A","2009",0.315,
"ISL","POVERTYGAP","18_65","RT","A","2010",0.309,
"ISL","POVERTYGAP","18_65","RT","A","2011",0.381,
"ISL","POVERTYGAP","18_65","RT","A","2012",0.294,
"ISL","POVERTYGAP","18_65","RT","A","2013",0.313,
"ISL","POVERTYGAP","18_65","RT","A","2014",0.339,
"ISL","POVERTYGAP","18_65","RT","A","2015",0.291,
"ISL","POVERTYGAP","18_65","RT","A","2016",0.282,
"ISL","POVERTYGAP","18_65","RT","A","2017",0.268,
"IRL","POVERTYGAP","18_65","RT","A","2005",0.21,
"IRL","POVERTYGAP","18_65","RT","A","2006",0.257,
"IRL","POVERTYGAP","18_65","RT","A","2007",0.213,
"IRL","POVERTYGAP","18_65","RT","A","2008",0.24,
"IRL","POVERTYGAP","18_65","RT","A","2009",0.327,
"IRL","POVERTYGAP","18_65","RT","A","2010",0.343,
"IRL","POVERTYGAP","18_65","RT","A","2011",0.324,
"IRL","POVERTYGAP","18_65","RT","A","2012",0.295,
"IRL","POVERTYGAP","18_65","RT","A","2013",0.313,
"IRL","POVERTYGAP","18_65","RT","A","2014",0.262,
"IRL","POVERTYGAP","18_65","RT","A","2015",0.232,
"IRL","POVERTYGAP","18_65","RT","A","2016",0.238,
"IRL","POVERTYGAP","18_65","RT","A","2017",0.255,
"IRL","POVERTYGAP","18_65","RT","A","2018",0.191,
"IRL","POVERTYGAP","18_65","RT","A","2019",0.214,
"IRL","POVERTYGAP","18_65","RT","A","2020",0.226,
"ITA","POVERTYGAP","18_65","RT","A","2005",0.373,
"ITA","POVERTYGAP","18_65","RT","A","2006",0.365,
"ITA","POVERTYGAP","18_65","RT","A","2007",0.369,
"ITA","POVERTYGAP","18_65","RT","A","2008",0.366,
"ITA","POVERTYGAP","18_65","RT","A","2009",0.373,
"ITA","POVERTYGAP","18_65","RT","A","2010",0.416,
"ITA","POVERTYGAP","18_65","RT","A","2011",0.402,
"ITA","POVERTYGAP","18_65","RT","A","2012",0.431,
"ITA","POVERTYGAP","18_65","RT","A","2013",0.424,
"ITA","POVERTYGAP","18_65","RT","A","2014",0.428,
"ITA","POVERTYGAP","18_65","RT","A","2015",0.472,
"ITA","POVERTYGAP","18_65","RT","A","2016",0.443,
"ITA","POVERTYGAP","18_65","RT","A","2017",0.436,
"ITA","POVERTYGAP","18_65","RT","A","2018",0.429,
"ITA","POVERTYGAP","18_65","RT","A","2019",0.398,
"ITA","POVERTYGAP","18_65","RT","A","2020",0.39,
"JPN","POVERTYGAP","18_65","RT","A","2018",0.381,
"KOR","POVERTYGAP","18_65","RT","A","2011",0.343,
"KOR","POVERTYGAP","18_65","RT","A","2012",0.344,
"KOR","POVERTYGAP","18_65","RT","A","2013",0.342,
"KOR","POVERTYGAP","18_65","RT","A","2014",0.335,
"KOR","POVERTYGAP","18_65","RT","A","2015",0.333,
"KOR","POVERTYGAP","18_65","RT","A","2016",0.332,
"KOR","POVERTYGAP","18_65","RT","A","2017",0.334,
"KOR","POVERTYGAP","18_65","RT","A","2018",0.324,
"KOR","POVERTYGAP","18_65","RT","A","2019",0.314,
"KOR","POVERTYGAP","18_65","RT","A","2020",0.296,
"LUX","POVERTYGAP","18_65","RT","A","2015",0.289,
"LUX","POVERTYGAP","18_65","RT","A","2016",0.303,
"LUX","POVERTYGAP","18_65","RT","A","2017",0.367,
"LUX","POVERTYGAP","18_65","RT","A","2018",0.341,
"LUX","POVERTYGAP","18_65","RT","A","2019",0.284,
"LUX","POVERTYGAP","18_65","RT","A","2020",0.238,
"MEX","POVERTYGAP","18_65","RT","A","2012",0.397,
"MEX","POVERTYGAP","18_65","RT","A","2014",0.334,
"MEX","POVERTYGAP","18_65","RT","A","2016",0.324,
"MEX","POVERTYGAP","18_65","RT","A","2018",0.32,
"MEX","POVERTYGAP","18_65","RT","A","2020",0.338,
"NLD","POVERTYGAP","18_65","RT","A","2011",0.343,
"NLD","POVERTYGAP","18_65","RT","A","2012",0.35,
"NLD","POVERTYGAP","18_65","RT","A","2013",0.35,
"NLD","POVERTYGAP","18_65","RT","A","2014",0.351,
"NLD","POVERTYGAP","18_65","RT","A","2015",0.37,
"NLD","POVERTYGAP","18_65","RT","A","2016",0.357,
"NLD","POVERTYGAP","18_65","RT","A","2017",0.362,
"NLD","POVERTYGAP","18_65","RT","A","2018",0.372,
"NLD","POVERTYGAP","18_65","RT","A","2019",0.371,
"NLD","POVERTYGAP","18_65","RT","A","2020",0.364,
"NLD","POVERTYGAP","18_65","RT","A","2021",0.357,"P"
"NZL","POVERTYGAP","18_65","RT","A","2006",0.399,
"NZL","POVERTYGAP","18_65","RT","A","2007",0.411,
"NZL","POVERTYGAP","18_65","RT","A","2008",0.401,
"NZL","POVERTYGAP","18_65","RT","A","2009",0.401,
"NZL","POVERTYGAP","18_65","RT","A","2010",0.402,
"NZL","POVERTYGAP","18_65","RT","A","2011",0.399,
"NZL","POVERTYGAP","18_65","RT","A","2012",0.382,
"NZL","POVERTYGAP","18_65","RT","A","2013",0.399,
"NZL","POVERTYGAP","18_65","RT","A","2014",0.382,
"NZL","POVERTYGAP","18_65","RT","A","2015",0.379,
"NZL","POVERTYGAP","18_65","RT","A","2016",0.378,
"NZL","POVERTYGAP","18_65","RT","A","2017",0.382,
"NZL","POVERTYGAP","18_65","RT","A","2018",0.374,
"NZL","POVERTYGAP","18_65","RT","A","2019",0.373,
"NZL","POVERTYGAP","18_65","RT","A","2020",0.363,
"NOR","POVERTYGAP","18_65","RT","A","2008",0.392,
"NOR","POVERTYGAP","18_65","RT","A","2009",0.415,
"NOR","POVERTYGAP","18_65","RT","A","2010",0.416,
"NOR","POVERTYGAP","18_65","RT","A","2011",0.415,
"NOR","POVERTYGAP","18_65","RT","A","2012",0.415,
"NOR","POVERTYGAP","18_65","RT","A","2013",0.404,
"NOR","POVERTYGAP","18_65","RT","A","2014",0.401,
"NOR","POVERTYGAP","18_65","RT","A","2015",0.4,
"NOR","POVERTYGAP","18_65","RT","A","2016",0.4,
"NOR","POVERTYGAP","18_65","RT","A","2017",0.388,
"NOR","POVERTYGAP","18_65","RT","A","2018",0.384,
"NOR","POVERTYGAP","18_65","RT","A","2019",0.4,
"NOR","POVERTYGAP","18_65","RT","A","2020",0.409,
"NOR","POVERTYGAP","18_65","RT","A","2021",0.403,
"POL","POVERTYGAP","18_65","RT","A","2005",0.299,
"POL","POVERTYGAP","18_65","RT","A","2006",0.279,
"POL","POVERTYGAP","18_65","RT","A","2007",0.289,
"POL","POVERTYGAP","18_65","RT","A","2008",0.261,
"POL","POVERTYGAP","18_65","RT","A","2009",0.282,
"POL","POVERTYGAP","18_65","RT","A","2010",0.298,
"POL","POVERTYGAP","18_65","RT","A","2011",0.288,
"POL","POVERTYGAP","18_65","RT","A","2012",0.283,
"POL","POVERTYGAP","18_65","RT","A","2013",0.284,
"POL","POVERTYGAP","18_65","RT","A","2014",0.308,
"POL","POVERTYGAP","18_65","RT","A","2015",0.307,
"POL","POVERTYGAP","18_65","RT","A","2016",0.307,
"POL","POVERTYGAP","18_65","RT","A","2017",0.319,
"POL","POVERTYGAP","18_65","RT","A","2018",0.315,
"POL","POVERTYGAP","18_65","RT","A","2019",0.282,
"POL","POVERTYGAP","18_65","RT","A","2020",0.308,
"PRT","POVERTYGAP","18_65","RT","A","2005",0.313,
"PRT","POVERTYGAP","18_65","RT","A","2006",0.27,
"PRT","POVERTYGAP","18_65","RT","A","2007",0.269,
"PRT","POVERTYGAP","18_65","RT","A","2008",0.277,
"PRT","POVERTYGAP","18_65","RT","A","2009",0.271,
"PRT","POVERTYGAP","18_65","RT","A","2010",0.259,
"PRT","POVERTYGAP","18_65","RT","A","2011",0.304,
"PRT","POVERTYGAP","18_65","RT","A","2012",0.323,
"PRT","POVERTYGAP","18_65","RT","A","2013",0.343,
"PRT","POVERTYGAP","18_65","RT","A","2014",0.318,
"PRT","POVERTYGAP","18_65","RT","A","2015",0.313,
"PRT","POVERTYGAP","18_65","RT","A","2016",0.316,
"PRT","POVERTYGAP","18_65","RT","A","2017",0.295,
"PRT","POVERTYGAP","18_65","RT","A","2018",0.311,
"PRT","POVERTYGAP","18_65","RT","A","2019",0.282,
"PRT","POVERTYGAP","18_65","RT","A","2020",0.308,
"SVK","POVERTYGAP","18_65","RT","A","2005",0.273,
"SVK","POVERTYGAP","18_65","RT","A","2006",0.292,
"SVK","POVERTYGAP","18_65","RT","A","2007",0.293,
"SVK","POVERTYGAP","18_65","RT","A","2008",0.307,
"SVK","POVERTYGAP","18_65","RT","A","2009",0.324,
"SVK","POVERTYGAP","18_65","RT","A","2010",0.327,
"SVK","POVERTYGAP","18_65","RT","A","2011",0.314,
"SVK","POVERTYGAP","18_65","RT","A","2012",0.309,
"SVK","POVERTYGAP","18_65","RT","A","2013",0.35,
"SVK","POVERTYGAP","18_65","RT","A","2014",0.358,
"SVK","POVERTYGAP","18_65","RT","A","2015",0.362,
"SVK","POVERTYGAP","18_65","RT","A","2016",0.421,
"SVK","POVERTYGAP","18_65","RT","A","2017",0.35,
"SVK","POVERTYGAP","18_65","RT","A","2018",0.372,
"SVK","POVERTYGAP","18_65","RT","A","2019",0.315,
"ESP","POVERTYGAP","18_65","RT","A","2007",0.351,
"ESP","POVERTYGAP","18_65","RT","A","2008",0.347,
"ESP","POVERTYGAP","18_65","RT","A","2009",0.375,
"ESP","POVERTYGAP","18_65","RT","A","2010",0.369,
"ESP","POVERTYGAP","18_65","RT","A","2011",0.394,
"ESP","POVERTYGAP","18_65","RT","A","2012",0.39,
"ESP","POVERTYGAP","18_65","RT","A","2013",0.386,
"ESP","POVERTYGAP","18_65","RT","A","2014",0.411,
"ESP","POVERTYGAP","18_65","RT","A","2015",0.379,
"ESP","POVERTYGAP","18_65","RT","A","2016",0.395,
"ESP","POVERTYGAP","18_65","RT","A","2017",0.361,
"ESP","POVERTYGAP","18_65","RT","A","2018",0.382,
"ESP","POVERTYGAP","18_65","RT","A","2019",0.371,
"ESP","POVERTYGAP","18_65","RT","A","2020",0.374,
"SWE","POVERTYGAP","18_65","RT","A","2013",0.275,
"SWE","POVERTYGAP","18_65","RT","A","2014",0.269,
"SWE","POVERTYGAP","18_65","RT","A","2015",0.256,
"SWE","POVERTYGAP","18_65","RT","A","2016",0.253,
"SWE","POVERTYGAP","18_65","RT","A","2017",0.263,
"SWE","POVERTYGAP","18_65","RT","A","2018",0.262,
"SWE","POVERTYGAP","18_65","RT","A","2019",0.265,
"SWE","POVERTYGAP","18_65","RT","A","2020",0.267,
"SWE","POVERTYGAP","18_65","RT","A","2021",0.263,
"CHE","POVERTYGAP","18_65","RT","A","2006",0.335,
"CHE","POVERTYGAP","18_65","RT","A","2007",0.34,
"CHE","POVERTYGAP","18_65","RT","A","2008",0.294,
"CHE","POVERTYGAP","18_65","RT","A","2009",0.289,
"CHE","POVERTYGAP","18_65","RT","A","2010",0.307,
"CHE","POVERTYGAP","18_65","RT","A","2011",0.272,
"CHE","POVERTYGAP","18_65","RT","A","2012",0.254,
"CHE","POVERTYGAP","18_65","RT","A","2013",0.268,
"CHE","POVERTYGAP","18_65","RT","A","2014",0.254,
"CHE","POVERTYGAP","18_65","RT","A","2015",0.281,
"CHE","POVERTYGAP","18_65","RT","A","2016",0.286,
"CHE","POVERTYGAP","18_65","RT","A","2017",0.293,
"CHE","POVERTYGAP","18_65","RT","A","2018",0.295,
"CHE","POVERTYGAP","18_65","RT","A","2019",0.325,
"TUR","POVERTYGAP","18_65","RT","A","2011",0.293,
"TUR","POVERTYGAP","18_65","RT","A","2012",0.289,
"TUR","POVERTYGAP","18_65","RT","A","2013",0.28,
"TUR","POVERTYGAP","18_65","RT","A","2014",0.294,
"TUR","POVERTYGAP","18_65","RT","A","2015",0.269,
"TUR","POVERTYGAP","18_65","RT","A","2017",0.258,
"TUR","POVERTYGAP","18_65","RT","A","2018",0.278,
"TUR","POVERTYGAP","18_65","RT","A","2019",0.307,
"GBR","POVERTYGAP","18_65","RT","A","2005",0.337,
"GBR","POVERTYGAP","18_65","RT","A","2006",0.346,
"GBR","POVERTYGAP","18_65","RT","A","2007",0.347,
"GBR","POVERTYGAP","18_65","RT","A","2008",0.373,
"GBR","POVERTYGAP","18_65","RT","A","2009",0.362,
"GBR","POVERTYGAP","18_65","RT","A","2010",0.349,
"GBR","POVERTYGAP","18_65","RT","A","2011",0.333,
"GBR","POVERTYGAP","18_65","RT","A","2012",0.365,
"GBR","POVERTYGAP","18_65","RT","A","2013",0.342,
"GBR","POVERTYGAP","18_65","RT","A","2014",0.35,
"GBR","POVERTYGAP","18_65","RT","A","2015",0.361,
"GBR","POVERTYGAP","18_65","RT","A","2016",0.399,
"GBR","POVERTYGAP","18_65","RT","A","2017",0.397,
"GBR","POVERTYGAP","18_65","RT","A","2018",0.434,
"GBR","POVERTYGAP","18_65","RT","A","2019",0.373,
"GBR","POVERTYGAP","18_65","RT","A","2020",0.424,
"USA","POVERTYGAP","18_65","RT","A","2013",0.414,
"USA","POVERTYGAP","18_65","RT","A","2014",0.423,
"USA","POVERTYGAP","18_65","RT","A","2015",0.42,
"USA","POVERTYGAP","18_65","RT","A","2016",0.416,
"USA","POVERTYGAP","18_65","RT","A","2017",0.404,
"USA","POVERTYGAP","18_65","RT","A","2018",0.389,
"USA","POVERTYGAP","18_65","RT","A","2019",0.376,
"USA","POVERTYGAP","18_65","RT","A","2020",0.367,
"USA","POVERTYGAP","18_65","RT","A","2021",0.357,"P"
"CHL","POVERTYGAP","18_65","RT","A","2009",0.344,
"CHL","POVERTYGAP","18_65","RT","A","2011",0.315,
"CHL","POVERTYGAP","18_65","RT","A","2013",0.319,
"CHL","POVERTYGAP","18_65","RT","A","2015",0.314,
"CHL","POVERTYGAP","18_65","RT","A","2017",0.319,
"EST","POVERTYGAP","18_65","RT","A","2013",0.356,
"EST","POVERTYGAP","18_65","RT","A","2014",0.354,
"EST","POVERTYGAP","18_65","RT","A","2015",0.347,
"EST","POVERTYGAP","18_65","RT","A","2016",0.356,
"EST","POVERTYGAP","18_65","RT","A","2017",0.349,
"EST","POVERTYGAP","18_65","RT","A","2018",0.345,
"EST","POVERTYGAP","18_65","RT","A","2019",0.363,
"EST","POVERTYGAP","18_65","RT","A","2020",0.354,
"ISR","POVERTYGAP","18_65","RT","A","2011",0.359,
"ISR","POVERTYGAP","18_65","RT","A","2012",0.366,
"ISR","POVERTYGAP","18_65","RT","A","2013",0.384,
"ISR","POVERTYGAP","18_65","RT","A","2014",0.355,
"ISR","POVERTYGAP","18_65","RT","A","2015",0.333,
"ISR","POVERTYGAP","18_65","RT","A","2016",0.331,
"ISR","POVERTYGAP","18_65","RT","A","2017",0.348,
"ISR","POVERTYGAP","18_65","RT","A","2018",0.288,
"ISR","POVERTYGAP","18_65","RT","A","2019",0.355,
"ISR","POVERTYGAP","18_65","RT","A","2020",0.324,
"SVN","POVERTYGAP","18_65","RT","A","2005",0.271,
"SVN","POVERTYGAP","18_65","RT","A","2006",0.245,
"SVN","POVERTYGAP","18_65","RT","A","2007",0.263,
"SVN","POVERTYGAP","18_65","RT","A","2008",0.245,
"SVN","POVERTYGAP","18_65","RT","A","2009",0.238,
"SVN","POVERTYGAP","18_65","RT","A","2010",0.25,
"SVN","POVERTYGAP","18_65","RT","A","2011",0.258,
"SVN","POVERTYGAP","18_65","RT","A","2012",0.246,
"SVN","POVERTYGAP","18_65","RT","A","2013",0.256,
"SVN","POVERTYGAP","18_65","RT","A","2014",0.255,
"SVN","POVERTYGAP","18_65","RT","A","2015",0.258,
"SVN","POVERTYGAP","18_65","RT","A","2016",0.248,
"SVN","POVERTYGAP","18_65","RT","A","2017",0.243,
"SVN","POVERTYGAP","18_65","RT","A","2018",0.233,
"SVN","POVERTYGAP","18_65","RT","A","2019",0.235,
"SVN","POVERTYGAP","18_65","RT","A","2020",0.221,
"LVA","POVERTYGAP","18_65","RT","A","2005",0.381,
"LVA","POVERTYGAP","18_65","RT","A","2006",0.366,
"LVA","POVERTYGAP","18_65","RT","A","2007",0.351,
"LVA","POVERTYGAP","18_65","RT","A","2008",0.358,
"LVA","POVERTYGAP","18_65","RT","A","2009",0.386,
"LVA","POVERTYGAP","18_65","RT","A","2010",0.359,
"LVA","POVERTYGAP","18_65","RT","A","2011",0.357,
"LVA","POVERTYGAP","18_65","RT","A","2012",0.361,
"LVA","POVERTYGAP","18_65","RT","A","2013",0.371,
"LVA","POVERTYGAP","18_65","RT","A","2014",0.341,
"LVA","POVERTYGAP","18_65","RT","A","2015",0.368,
"LVA","POVERTYGAP","18_65","RT","A","2016",0.38,
"LVA","POVERTYGAP","18_65","RT","A","2017",0.407,
"LVA","POVERTYGAP","18_65","RT","A","2018",0.37,
"LVA","POVERTYGAP","18_65","RT","A","2019",0.351,
"LVA","POVERTYGAP","18_65","RT","A","2020",0.365,
"LVA","POVERTYGAP","18_65","RT","A","2021",0.385,"P"
"LTU","POVERTYGAP","18_65","RT","A","2005",0.363,
"LTU","POVERTYGAP","18_65","RT","A","2006",0.345,
"LTU","POVERTYGAP","18_65","RT","A","2007",0.344,
"LTU","POVERTYGAP","18_65","RT","A","2008",0.335,
"LTU","POVERTYGAP","18_65","RT","A","2009",0.39,
"LTU","POVERTYGAP","18_65","RT","A","2010",0.359,
"LTU","POVERTYGAP","18_65","RT","A","2011",0.322,
"LTU","POVERTYGAP","18_65","RT","A","2012",0.315,
"LTU","POVERTYGAP","18_65","RT","A","2013",0.337,
"LTU","POVERTYGAP","18_65","RT","A","2014",0.371,
"LTU","POVERTYGAP","18_65","RT","A","2015",0.369,
"LTU","POVERTYGAP","18_65","RT","A","2016",0.404,
"LTU","POVERTYGAP","18_65","RT","A","2017",0.393,
"LTU","POVERTYGAP","18_65","RT","A","2018",0.398,
"LTU","POVERTYGAP","18_65","RT","A","2019",0.346,
"LTU","POVERTYGAP","18_65","RT","A","2020",0.342,
"AUS","POVERTYGAP","66MORE","RT","A","2012",0.179,
"AUS","POVERTYGAP","66MORE","RT","A","2014",0.19,
"AUS","POVERTYGAP","66MORE","RT","A","2016",0.181,
"AUS","POVERTYGAP","66MORE","RT","A","2018",0.225,
"AUS","POVERTYGAP","66MORE","RT","A","2020",0.221,
"AUT","POVERTYGAP","66MORE","RT","A","2007",0.286,
"AUT","POVERTYGAP","66MORE","RT","A","2008",0.27,
"AUT","POVERTYGAP","66MORE","RT","A","2009",0.309,
"AUT","POVERTYGAP","66MORE","RT","A","2010",0.318,
"AUT","POVERTYGAP","66MORE","RT","A","2011",0.313,
"AUT","POVERTYGAP","66MORE","RT","A","2012",0.346,
"AUT","POVERTYGAP","66MORE","RT","A","2013",0.292,
"AUT","POVERTYGAP","66MORE","RT","A","2014",0.26,
"AUT","POVERTYGAP","66MORE","RT","A","2015",0.295,
"AUT","POVERTYGAP","66MORE","RT","A","2016",0.281,
"AUT","POVERTYGAP","66MORE","RT","A","2017",0.262,
"AUT","POVERTYGAP","66MORE","RT","A","2018",0.326,
"AUT","POVERTYGAP","66MORE","RT","A","2019",0.311,
"AUT","POVERTYGAP","66MORE","RT","A","2020",0.304,
"BEL","POVERTYGAP","66MORE","RT","A","2018",0.223,
"BEL","POVERTYGAP","66MORE","RT","A","2019",0.223,
"BEL","POVERTYGAP","66MORE","RT","A","2020",0.248,
"CAN","POVERTYGAP","66MORE","RT","A","2005",0.117,
